controlno,Title,Author,Callno,Accession,Copyright,Quantity
32508160444,'The miracle of flight',"Dalton, Stephen",533.62 D152,"18203, 18204, 18375, 18206",1977,4
32508160826,'Modern physics',"Williams, John E.",539 W724,298,1970,1
32508161025,'Modern physics',"Williams, John E.",539 W724,20009,1980,1
32508162246,'An introduction to physical science the world of atoms',"McCue, J. J. G.",539.7 M133,10712,1963,1
32508162431,'The story of radioactivity',"Stepp, Ann",539.752 S837,31304,1971,1
32508162547,'General Chemistry',"Becker, Ralph S.",540 B396,"7931, 7929, 7930",1973,3
32508163009,'Chemistry',"Chang, Raymond",540 C457,"32163, 32160",1991,2
32508163136,'General Chemistry',"Chang, Raymond",540 C456,34549,2006,1
32508163247,'Committee on general Chemistry laboratory manual and workbook for general Chemistry part I',COGC,540 C734,"32865, 32866",1986,2
32508163627,'Chemistry',"Cotton, F. Albert",540 C851,"10467, 10462, 10469, 10599",1970,4
32508163758,'Chemistry for changing times',"Hill, John W.",540 H646 10E,33908,2004,1
32508164003,'College general chemistry',"Jensen, T. Trygve",540 J54,18756,1971,1
32808162016,'College chemistry',"King, G. Brooks",540 K52,5680,1972,1
32808162523,'Modern-life Chemistry',"Kruh, Frank O.",540 K94,417,1937,1
32808162729,'College Chemistry',"Lewis, John R.",540 L675,715,1971,1
32808162831,'Understanding Chemistry',"Lovett, Chip",540 L911,34993,2005,1
32808163246,'College chemistry in the laboratory',"Malm, Lloyd",540 M256,20286,1950,1
32808163428,'Chemistry',"Mortimer, Charles E.",540 M888,"5682, 5683",1975,2
32808163624,'Chemistry',"Oxtoby, David W.",540 O98,31917,1990,1
32808163825,'The chemistry of matter',"Pierce, James B.",540 P616,8065,1970,1
33108080808,'Fundamentals of college chemistry part I',"Salita, Domingo C.",540 S167,32877,1984,1
33108081202,'Chemistry',"Smoot, Robert C.",540 S666,"31284, 31285",1983,2
33108081756,'Fundamentals of college Chemistry (a reviewer/text)',"Sy, Jose C.",540 S979,"51584, 51585",1987,2
33108082655,'Experiments in Chemistry',"Milio, Frank R.",540 M644,"31721, 31731, 31730",1989,3
33108133727,'Solid state quantum Chemistry',"Levin, Alexander A.",541.224 L665,"18292, 18291",1977,2
33108133916,'Fundamentals of physical Chemistry',"Maron, Samuel H.",541.3 M354,31455,1974,1
33108134453,'Calculation of analytical Chemistry',"Hamilton, Lelcester",543 H218,31456,1969,1
33108134715,'X-ray microanalysis in Biology',"Hayat, M. A.",543.081 H412,18925,1980,1
33108141757,'Elementary quantitative analysis theory and practice',"Blaedel, W. J.",545 B632,33671,1978,1
33108141935,'Laboratory manual and workbook in general Chemistry',"De Castro, Herminia G.",546 D291,"34839, 34840",2003,2
33108142102,'Introduction to organic and biological Chemistry',"Baum, Stuart J.",547 B347,31311,1970,1
33108142307,'A short course in organic Chemistry',"Burgoyne, Edward E.",547 B957,18540,1979,1
33108143046,'The world of organic Chemistry',"Eaton, David C.",547 E14,"18357, 18358, 18356, 18356A",1979,4
33108143331,'Principles of organic Chemistry',"Geissman, T. A.",547 G313,7829,1968,1
33108143511,'Introduction to organic laboratory techniques',"Pavia, Donald L.",547 P338,31735,1976,1
33108143755,'Earth science',"Braganza, Maria Chona Sulit",550 B813,"34981, 34980",2005,2
33108144115,'Fundamentals of earth science (a modular approach)',"Catchillar, Gerry C.",550 C357,"34272, 34524",2005,2
33108144330,'Introduction to earch science',"Dela Cruz, Rowena D. G.",550 D332,33919,2004,1
33108144621,'Earth science',"Bishop, Margaret S.",550 B622,20166,1976,1
33108144749,'The earth''s dynamic systems',"Hamblin, W. Kenneth",550 H199,"18019, 10573, 10572",1975,3
33108144940,'The earth''s dynamic systems',"Hamblin, W. Kenneth",550 H199,7816,1978,1
33108145314,'Spaceship earth',"Jackson, Joseph H.",550 J13,"18472, 18473",1973,2
33108145651,'The earth and you',"Pounds, Norman J. G.",550 P876,31707,1962,1
33108145827,'Modern earth science',"Ramsey, William L.",550 R183 61E,"30631, 32752, 32358, 32359, 32751",1961,5
33108150205,'Basic concepts in earth science',"Realuyo, Zenaida Montecastro",550 R288,34939,2004,1
33108150929,'Anatomy of the earth',"Cailleux, Andre",551 C134,"18563, 18564",1976,2
33108151605,'Geology and society',"Coates, Donald R.",551 C652,31710,1985,1
33108151725,'Physical geology',"Leet, L. Don",551 L487,228,1959,1
33108152147,'Earth',"Press, Frank",551 P935,"7692, 7670",1974,2
33108152558,'Environments through time',"Anstey, Robert L.",551.304 A625,20332,1974,1
33108152828,'Deserts',"MacMahon, James A.",551.415 M167,31305,[19 - ?],1
33108153040,'An introduction to the world''s oceans',"Duxbury, Alyn C.",551.46 D987,"31897, 31890",1989,2
33108153431,'Managing ocean resources',"Friedheim, Robert L.",551.46 F899,"18738, 18740",1979,2
33108153706,'Introductory oceanography',"Thurman, Harold V.",551.46 T539 6E,"31908, 32005",1991,2
33108153831,'Computations of surface layer air parcel trajectories and weather in the oceanic tropics',"Gordon, Adrian H.",551.5 G662,19311,1975,1
33108154106,'Nitrogen fixation Volume II',"Newton, William E.",553.93 N567,18976,1980,1
33108154508,'Exploring the world of fossils',"Matthews, William H. III",560 M442,31217,1964,1
33108154703,"'Paleobotany, part 1 Precambrian through Permian'","Taylor, Thomas N.",561 T246,"30354, 30355",1984,2
33108155257,'The age of dinosaurs',"Kurten, Bjorn",567.9 K96,"18498, 18497, 18496",1978,3
33108155525,'Biology the science of life for non-science majors',"Agravante, Marie Denise",570 A277,33625,2002,1
33108160356,'Central concepts of biology',"Baer, Adela S.",570 B141,8130,1971,1
33108162922,'Concepts of biology a cultural perspective',"Buffaloe, Neal D.",570 B929 CB,8111,1973,1
33108163219,'Principles of biology',"Buffaloe, Neal D.",570 B929 PB,7668,1967,1
33108163657,'Introduction to biological science',"Ditan, Carolina Desamero",570 D615,"939C2, 939C1",1994,2
40108080741,'Focus on life science',"Heimler, Charles H.",570 H467,31269,1981,1
40108081038,'Principles of biology laboratory manual',"Howard, Lauren Davis",570 H849,"30238, 30239, 30237, 30236, 30240",1980,5
40108081705,'Elements of biological science',"Keeton, William T.",570 K26,8781,1969,1
40108082734,'Biology in the laboratory',"Keeton, William T.",570 K26,20810,1970,1
40108083341,'Inquiring into life',"Mader, Sylvia S.",570 M181,31860,1982,1
40108083541,'Basic concepts in biology',"Penecilla, Gerald L.",570 P398,33884,2003,1
40108083812,'Man and the environment',"Rasmussen, Frederick A.",570 R225,7815,1974,1
40108083957,'Basic concepts of biological science',"Realuyo, Zenaida M.",570 R288,92,1990,1
40108084419,'Basic biology',"Realuyo, Zenaida M.",570 R288,"35191, 35190, 35189",2006,3
40108084616,'Biology',"Starr, Cecie",570 S796,31909,1991,1
40108084724,'Biology anthology readings in the life sciences',"Wilson, Samuel",570 W753,18776,1974,1
40108084909,'Life',"Fabiano, Eleanor R.",570.1 F118,"18787, 18780",1975,2
40108085055,'Life',"Wilson, Edward O.",570.1 W747,18763,1977,1
40108085256,'The principles of general biology',"Gardiner, Mary S.",570.15 G223,8110,1967,1
40108085813,'Biology teacher''s handbook',"Schwab, Joseph J.",570.2 S398,20244,1963,1
40108091049,'Elements of biological science',"Keeton, William T.",570.7 K26 2E,18084,1973,1
40108091536,'Elements of biological science',"Keeton, William T.",570.7 K26 3E,19785,1983,1
40108091737,'Guide to the literature of the life sciences',"Smith, Roger C.",570.7 S658,695,1972,1
40108091950,'Review of medical physiology',"Ganong, William F.",571 G198 7E,18334,1975,1
40108092209,'Review of medical physiology',"Ganong, William F.",571 G178 8E,18334A,1977,1
40108092441,'Experiments in physiology',"Tharp, Gerald D.",571 T367,"18005, 18006",1970,2
40108092629,'Atlas and dissection guide for comparative anatomy',"Wischnitzer, Saul",571.3 W511,"20895, 7841, 20896, 7840",1972,4
40108092846,'Cell biology',"Dyson, Robert D.",571.6 D998,"10689, 8107",1976,2
40108093030,'Biological structures',"Krommenhoek, W.",571.6,18960,1979,1
40108093224,'Advanced cell biology',"Schwartz, Lazar M.",571.6 S411,30348,1981,1
40108093431,'The cell',"Swanson, Carl P.",571.6 S972,32618,1960,1
40108100145,'The biology of organisms',"Telfer, William H.",571.6 T271,8315,1995,1
40108100354,'Life',"Tullar, Richard M.",571.6 T918,7687,1972,1
40108100502,'An introduction to animal biology',"Braungart, Dale C.",571.81 B825,8064,1968,1
40108100718,'Principles of plant pathology',"Tarr, S. A. J.",571.92 T192,19449,1972,1
40108102756,'Proceeding seminar on ecotoxicology',National Research Council of the Philippines,571.95 N277,34482,1976,1
40108103121,'Biochemistry',"Kirkwood, John M.",572 K59,51072,1976,1
40108103645,'Structure and function of biomolecules',"Lim - Sylianco, Clara Y.",572 L734,20871,1974,1
40108103848,'Solid phase peptide synthesis',"Stewart, John Morrow",572.65 S849,10530,1969,1
40108104138,'Molecular genetics',"Stent, Gunther S.",572.8 S826,7997,1975,1
40108104329,'Concepts of molecular genetics',"Woodward, Dow O.",572.8 W899,"18296, 18385, 18297, 18295, 18384",1977,5
40108104755,'The color of man',"Cohen, Robert",573.5 C678,"31264, 31327",1968,2
40108104954,'Extra nuclear genetics',"Beale, Geoffrey",576. 5 B366,"18958, 18947",1978,2
40108105647,'Genetics laboratory investigations',"Gardner, Eldon J.",576.5 G226,"18447, 18446, 18445, 18421",1975,4
40108110013,'The study of human evolution',"Eckhardt, Robert B.",576.82 E19,"18235, 18236, 18239, 18234",1979,4
40108110412,'The origin of man',"Hewes, Gordon W.",576.82 H599,"714, 712, 711",1973,3
40108110630,'Principles of ecology',"Brewer, Richard",577 B847,"18082, 18081",1979,2
40108110949,"'Life, space, and time'","Fell, Barry",577 F317,8085,1974,1
40108111137,'Investigating our ecosystem',"Greisel, Irma",577 G824,"32744, 32521, 32535, 32541, 32745, 32536, 32540",1976,7
40108111439,'General ecology',"Hallare, Arnold V.",577 H182,"34082, 34081",2001,2
40108111805,'Environment science sustaining the earth',"Miller, G. Tyler Jr.",577 M648,32016,1991,1
40108112057,'Ecology',"Molles, Manuel C. Jr.",577 M726,34545,2006,1
40108112332,'Fundamentals of ecology',"Odum, Eugene P.",577 O27,"20, 31432",1971,2
40108112630,'Ecology man''s relationship to his environment',"Pauline, Lawrence J.",577 P528,1414,1971,1
40108113130,'Ecology',"Ricklefs, Robert E.",577 R539,"10634, 10635",1973,2
40108113243,'Elements of ecology',"Smith, Robert Leo",577 S658,34539,2002,1
40108113630,'Fundamentals of environmental science',"Tayo, Gilma T.",577 T247,"33883, 34360, 34361",2004,3
40108113923,'Reading the landscape of America',"Watts, May Theiland",577 W532,10491,1975,1
40108114050,'Man and the biology of arid zones',"Cloudsley - Thompson, J. L.",577.54 C647,"18907, 18908",1977,2
40108114658,'Managing ocean resources',"Friedheim, Robert L.",577.7 F899,18739,1979,1
40108132436,'Microbiological applications',"Benson, Harold J.",579 B474,31958,1990,1
40108133148,'DIFCO manual of dehydrated culture media and reagents for microbiological and clinical laboratory procedures',DIFCO,579 D569,30018,1977,1
40108133840,'Microbiology',"Edmonds, Paul",579 E24,18588,1978,1
40108134058,'Industrial microbiology',"Prescott, Samuel Cate",579 P933,31563,1959,1
40108134434,'The microbial wold',"Sanier, Roger Y.",579 S786,19461,1976,1
40108135025,'Microbiology',"Tilton, Richard C.",579 T581,33174,1983,1
40108135314,'Bacteriology',"Bryan, Arthur H.",579.3 B915,"19462, 19494",1970,2
40108135447,'Illustrated general and species of Philippine plant pathogenic fungi',"Quimio, Tricita H.",579.5 Q6,20610,1983,1
40108135617,'The study of botany',"Adams, Preston",580 A216,18072,1978,1
40108135757,'General botany laboratory manual and workbook',"Agravante, Marie Denise",580 A277,32093,1980,1
40108140252,'Lectures on general botany',"De Peralta, Fernando",580 D419,20403,1972,1
40108140529,'General botany',"Fuller, Harny J.",580 F966,10867,1970,1
40108140639,'A flora of Manila',"Merrill, E. D.",580 M571,"18830, 18066, 18829",1976,3
40108140855,'Botany',"Muller, Walter H.",580 M958,18070,1979,1
40108141020,'A guide to families of common flowering plants in the Philippines',"Castro, Irma Remo",580.9599 C355,35268,2006,1
40108141424,'Trees',"Parker, Bertha Morris",582.16 P238,2890,1959,1
40108141622,'Trees structure and function',"Zimmermann, Martin H.",582.16 Z75,20383,1971,1
40108141743,'Laboratory guide for general zoology',"Arga, Felicisima A.",590 A686 LGZ,20499,1985,1
40108141904,'Notes in general zoology',"Arga, Felicisima A.",590 A686 NGZ,20561,1986,1
