controlno,Title,Author,Callno,Accession,Copyright
52208112143,Modern advertising for Filipinos,"Crisostomo, Isabelo T.",659.1 C932,19800,1971
52108092737,Organization for marketing,"Ely, Vivien King",658.8 E52,18438,1971
52208111447,Credits and collections,"Beckman, Theodore N.",658.88 B397,5742,1971
52208090329,Creative selling,"Ernest, John W.",658.85 E71,18420,1971
52208090329,Creative selling,"Ernest, John W.",658.85 E71,18419,1971
52108084706,Business correspondence,"Fruehling, Rosemary T.",658.75 P994,18426,1971
52208090329,Creative selling,"Ernest, John W.",658.85 E71,18418,1971
52208090329,Creative selling,"Ernest, John W.",658.85 E71,18417,1971
51608155749,The management of men,"Kassarjian, J. B. M.",658.3 K19,19594,1971
42108142205,Clinical behavior therapy,"Lazarus, Arnold A.",616.89142 L431,8015,1972
52108100831,Marketing of agricultural products,"Kohls, Richard L.",658.8 K79 4E,18560,1972
42408113412,The greatest secret in the world,"Mandino, Og",646.7 M271,31478,1972
42408081815,Symposium,"Inglett, George E.",636.08522 I51,8106,1972
42208103702,Motors automobile trouble shoorter,Motor Book Department,629.287 M919,33581,1972
42108134420,Supervising clinical experiences in the classroom,"Bennie, William A.",616.02 B472,8134,1972
51208141616,The management of government,"Garrett, John",658 G239,33284,1972
51208151832,Management theory and practice,"Martinez, Esdras T.",658 M385,18102,1972
42208113857,Horticultural science,"Janick, Jules",635 J33,18759,1972
42108161138,Alternating - current machines,"Puchstein, A. F.",621.3133 P977,30978,1972
42208082352,How it works,"Keen, Martin",621.381 K26,31298,1972
51208141856,The great executive dream,"Heller, Robert",658 H477,32970,1972
42408100631,The cooking of Russia,"Papashvily, Helen",641.59 P213,1093,1972
52208111844,Fundamentals of credit and collection,"Mabbun - Leuterio, Mercedes",658.883 M112,7624,1972
52208111844,Fundamentals of credit and collection,"Mabbun - Leuterio, Mercedes",658.883 M112,5556,1972
51608110807,Financial management and policy,"Van Horne, James C.",658.15 V256 2E,30035,1972
42408160037,Teach yourself books,"Shaw, Josephine",651.3 S534 TYB,30932,1972
42908154431,College secretarial procedures,"Place, Irene",651.3741 P697,19540,1972
52208113155,I can sell you anything,"Wrighter, Carl P.",659.1 W954,33285,1972
52108081120,Symposium,"Inglett, George E.",658.561 I52,8128,1973
52108081120,Symposium,"Inglett, George E.",658.561 I52,10353,1973
52108092305,Marketing in the common market,"Deschampsneufs, Henry",658.8 D446,30935,1973
42108113517,The dangerous drugs primer,"Juco, Jorge M.",613.8 J96,332,1973
42208091607,Modern marine maintenance,"Duffett, John",623.82 D856,30940,1973
41808153524,Biochemical instrumentation and measurements,"Cromwell, Leslie",610.28 C946,32596,1973
42408143743,Industrialism and industrial man,"Kerr, Clark",650 K41,31486,1973
52208140456,Yeast technology,"Reed, Gerald",664.68 R324,18382,1973
52208112620,How to get big results from a small advertising budget,"Smith, Cynthia S.",659.1 S644,32619,1973
43008105904,Typing 300,"Rowe, John L.",652.3 R878 2,20880,1973
42408135653,International Child Welfare Review,"Gaume, Jean - Pierre.",649.1 G271,20993,1973
42108162245,Electronics for young people,"Bendick, Jeanne",621.381 B458 5E,32941,1973
42208135738,Color in your garden,Sunset Books,635.9 S958 C,10485,1973
42208112105,Forestry and its career opportunities,"Shirley, Hardly L.",634.9 S558,18294,1973
42208111709,Peanuts,"Woodroof, Jasper Guy",633.363 W893,8168,1973
42208083109,Semiconductor memory design and application,"Luecke, Gerald",621.3815 L948,18367,1973
42208083109,Semiconductor memory design and application,"Luecke, Gerald",621.3815 L948,18378,1973
42208084703,Elements of radio,"Marcus, Abraham",621.384 M322,18881,1973
51908083855,Supervisory development text and cases,"Martinez, Esdras T.",658.302 M959,978,1973
51308090617,Management and motivation,"Vroom, Victor H.",658 V984,31491,1973
51308085637,Business principles and management,"Shilt, Bernard A.",658 S556,18862,1973
42108161815,Electronics for young people,"Bendic, Jeanne",621.381 B458,31387,1973
41808152945,Technical drawing,"Giesecke, Frederick",604.2 G455,6969,1974
43008150954,Student''s transcript of Gregg speed building for colleges diamond jubilee series,"Gregg, John R.",653.1 G819,19533,1974
52108153727,Sales administration,"Canfield, Bertrand",658.81 C222,5542,1974
51908112958,Instructor''s manual business logistics physical distribution and materials management,"Heskett, James L.",658.5 H584,30455,1974
42208110510,Wheat,"Inglett, George E.",633.11 I51,8131,1974
51908112958,Instructor''s manual business logistics physical distribution and materials management,"Heskett, James L.",658.5 H584,10767,1974
42408082003,No foot - no horse,"Hanauer, Elsie V.",636.1 H233,18350,1974
42208140133,Animal agriculture,"Cole, H. H.",636 C689,10425,1974
41808153835,Fundamentals of nursing,"Fuerst, Elinor V.",610.73 F954 5E,5757,1974
51908112958,Instructor''s manual business logistics physical distribution and materials management,"Heskett, James L.",658.5 H584,80454,1974
51908112958,Instructor''s manual business logistics physical distribution and materials management,"Heskett, James L.",658.5 H584,10766,1974
51608115014,Essentials of financial management,"Walker, Ernest W.",658.15 W178,5565,1974
42408135255,Towards a responsible parenthood and family life,"Tagle, Ramon A. Jr.",649 T126,19962,1974
43008150954,Student''s transcript of Gregg speed building for colleges diamond jubilee series,"Gregg, John R.",653.1 G819,19776,1974
51908111620,Communicating in business,"Lindauen, J. S.",658.45 L742,8157,1974
52208140240,Sumposium,"Inglett, George E.",664.15 I51,10364,1974
52208140240,Sumposium,"Inglett, George E.",664.15 I51,8141,1974
52108103533,Marketing and distribution,"Mason, Ralph E.",658.8 M411,18861,1974
52208144856,Inside the fashion business,"Jarnow, Jeannette A.",687 J37,18760,1974
43008150954,Student''s transcript of Gregg speed building for colleges diamond jubilee series,"Gregg, John R.",653.1 G819,19774,1974
42208135951,Sunset ideas for hanging gardens,Sunset Books,635.9 S958 H,709,1974
51908113630,Production management,"Martinez, Esdras T.",658.5 M385,19010,1974
43008150954,Student''s transcript of Gregg speed building for colleges diamond jubilee series,"Gregg, John R.",653.1 G819,19775,1974
42208110134,Applying pesticides correctly,United States Department of Agriculture,632.95 U58,31290,1974
51908113630,Production management,"Martinez, Esdras T.",658.5 M385,33746,1974
42408103139,Convenience and fast food handbook,"Thorner, Marvin Edward",642.1 T511,10363,1974
52208082235,Marketing research,"Luck, David J.",658.83 L941 4E,31610,1974
51908113630,Production management,"Martinez, Esdras T.",658.5 M385,1248,1974
42208110510,Wheat,"Inglett, George E.",633.11 I51,10346,1974
42408083328,The story of food,"Garard, Ira D.",641 G212,10377,1974
42108133627,Every wall a door,"Dooley, Anne",615.852 D691,7808,1974
42208110510,Wheat,"Inglett, George E.",633.11 I51,10347,1974
52208105930,Retail merchandising,"Wingate, John W.",658.85 W769 8E,18869,1975
51608143846,"Time, cost and architecture","Heery, George T.",658.1552 H459,18345,1975
42408151009,Office management and control,"Terry, George R.",650.3 T329,18125,1975
42408160156,Complete course in office procedures,"Sparling, Allan E.",651.3 S736 4E,19553,1975
51608153714,Introduction to investment management,"Sprecher, C. Ronald",658.1554 S768,1952,1975
51608153714,Introduction to investment management,"Sprecher, C. Ronald",658.1554 S768,1953,1975
51608153714,Introduction to investment management,"Sprecher, C. Ronald",658.1554 S768,1954,1975
52208115149,Food colorimetry,"Francis, F. J.",664 F818,8083,1975
42208082914,Microwave heating,"Copson, David A.",621.3813 C254,18208,1975
51608143846,"Time, cost and architecture","Heery, George T.",658.1552 H459,18388,1975
42408151009,Office management and control,"Terry, George R.",650.3 T329,18126,1975
42408151009,Office management and control,"Terry, George R.",650.3 T329,19390,1975
42408151009,Office management and control,"Terry, George R.",650.3 T329,19391,1975
42908144350,The super secs,"Marchak, Alice",651.374 M315,10725,1975
43008102149,College typewriting,"Lessembery, D. D.",652.3 L638,20441,1975
51608153714,Introduction to investment management,"Sprecher, C. Ronald",658.1554 S768,7951,1975
